Name,Type,Location,Reservation,Coat Check,Cover,Price,Stars,Link,Reviews
Celtics game,,TD Garden,,,,,,https://www.tdgarden.com/events/category/celtics,
Bruins game,,TD Garden,,,,,,https://www.tdgarden.com/events/category/bruins,
Museum of Science,,West End,,,,,,https://www.mos.org/,
Red Sox Game,,Fenway,,,,,,https://thefenway.com/locations/fenway-park,
Isabella Stewart Gardner Museum,,Fenway,,,,,,https://www.gardnermuseum.org/,
ICA Museum,,Seaport,,,,,,https://www.icaboston.org/,
Seaport pop up shops,,Seaport,,,,,,https://www.bostonseaport.xyz/,
Waterfront Seaport,,Seaport,,,,,,,
Boston Public Market,,Faneuil Hall, ,,,,,https://faneuilhallmarketplace.com/boston-public-market/,
Faneuil Hall,,Faneuil Hall,,,,,,https://faneuilhallmarketplace.com/,
New England Aquarium,,Long Wharf,,,,,,https://www.neaq.org/,
Boston Athenaeum,,Downtown,,,,,,https://www.bostonathenaeum.org/,
Ice Skating,,Downtown,,,,,,,
Boston Ballet,,Downtown,,,,,,https://www.bostonballet.org/home.aspx,
Charles River Esplanade,,"Back Bay/
West End",,,,,,https://esplanade.org/,
Public Garden,,Back Bay ,,,,,,https://www.boston.gov/parks/public-garden,
Walk Newbury Street,,Back Bay,,,,,,https://www.newburystboston.com/,
Boston Public Library,,Back Bay,,,,,,https://www.bpl.org/,
Prudential Mall / Copley,,Back Bay,,,,,,https://www.prudentialcenter.com/,
Tea at the Boston Public Library ,,Back Bay,,,,,,https://www.librarytea.com/courtyard,
Harvard Campus,,Cambridge,,,,,,,
Garment District,,Cambridge,,,,,,https://garmentdistrict.com/refresh/,
Beacon Hill,,Beacon Hill,,,,,,,
Rainbow Pottery studio,,Beacon Hill,,,,,,https://www.rainbowspottery.com/,
Beacon Hill Books & Cafe,,Beacon Hill,,,,,,https://www.bhbooks.com,
Improv Asylum,,North end ,,,,,,https://improvasylum.com/,
Duck Boats,,,,,,,,https://bostonducktours.com/,
Take the water Taxi,,,,,,,,https://www.bostonwatertaxi.com/,
Picnic,,,,,,,,https://thepicnicplaybook.wixsite.com/thepicnicplaybook,
Bow market,,Somerville ,,,,,,https://www.bowmarketsomerville.com,
Muse PaintBar,,Somerville ,,,,,,https://www.musepaintbar.com/events/somerville-paint-bar?utm_source=GMB_listing&utm_medium=organic,
Animal Adventures,,Bolton,,,,,,https://www.animaladventures.net/tickets-tours ,
SOWA,,South End,,,,,,https://www.sowaboston.com/sowa-open-market,
Charles River Boat Company,,,,,,,,https://charlesriverboat.com/,
